"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MTHFD1L",1912.92218520126,1.89919056162262,0.114411090006568,16.5997069122722,7.00320454467338e-62,7.7105282036854e-59
"RECQL4",1934.39146786444,2.22000444095679,0.172586855027424,12.863114288768,7.25919295391493e-38,3.99618572113017e-35
"PUS1",1335.53132403783,1.19065212067058,0.0970826264371969,12.2643171529854,1.40794175793077e-34,5.16714625160592e-32
"MTFR2",429.969647125707,1.97409988751721,0.164768437529793,11.9810560633632,4.46598015296068e-33,1.22926103710243e-30
"SLC25A34",162.390712819053,-2.79297123192074,0.233873552065256,-11.9422277861562,7.12878534202886e-33,1.56975853231476e-30
"TWNK",1003.57313532625,1.34588354132273,0.11470251366157,11.733688289463,8.56437607776102e-32,1.57156301026915e-29
"DNA2",718.666933995921,1.80317653408946,0.154254482742388,11.6896216047144,1.44026866841457e-31,2.2653368627492e-29
"BID",2327.77567630392,1.25800554210817,0.108695394394542,11.5736784351862,5.60279644362074e-31,7.71084860553304e-29
"HSPD1",23165.3943948271,1.21603358020483,0.111541847941346,10.9020390342133,1.12702921151156e-27,1.24085916187423e-25
"ETFDH",1475.38633753192,-1.33457984463703,0.124551795446075,-10.715059063238,8.65020287395936e-27,8.65806669475387e-25
"CKMT2",174.609582235708,-3.02689475422777,0.283148549862115,-10.6901298124316,1.13212411330448e-26,1.03872387395686e-24
"PCK2",3093.85038448007,-1.85027703660828,0.17383686431052,-10.6437552468916,1.86459652364971e-26,1.57916982502949e-24
"BBC3",1142.51264377598,1.65063781510951,0.155327845815417,10.6267991192708,2.23657374021963e-26,1.75890549141558e-24
"TOMM34",3751.07463107814,1.28534215339278,0.1216306517755,10.5675841955135,4.21204999563532e-26,3.09164469679633e-24
"POLQ",971.603774356464,1.902757850062,0.181134516237359,10.5046674128558,8.22120760547955e-26,5.65721848352061e-24
"PAICS",8284.43036442256,1.10992005420556,0.105975611321075,10.4733536364591,1.14512749525945e-25,7.4163845428274e-24
"DHRS1",1162.76736583034,-1.36432301095594,0.131947143333215,-10.3399207932113,4.64921637954476e-25,2.84377068548821e-23
"MRM1",574.047557622581,1.18758793348407,0.115554275384767,10.2773171267761,8.91753645987798e-25,5.09071358104988e-23
"MTHFD2",3602.758891816,1.208388316113,0.118740969944832,10.1766754699278,2.5202486736099e-24,1.32133037602119e-22
