"Gene","HR","HR_conf_low","HR_conf_high","p_value"
"POLQ",0.825,0.691,0.985,0.03301
"PDK4",1.11,1.019,1.209,0.01671
"FKBP10",1.195,1.077,1.325,0.00075
"CYP11A1",1.616,1.23,2.123,0.00056
"SPHKAP",1.421,1.019,1.981,0.03835
"PDE2A",1.205,1.051,1.381,0.00764
"ACADL",1.386,1.071,1.794,0.01299
"DMGDH",1.332,1.002,1.769,0.04825
"BIK",0.83,0.691,0.998,0.04738
"MICU3",1.28,1.076,1.523,0.00524
"ARMCX1",1.3,1.113,1.518,0.00091
"BNIP3",1.16,1.011,1.331,0.03496
"ABCA9",1.211,1.057,1.388,0.00594
"MSRB3",1.144,1.04,1.258,0.00552
